filing_date,trade_date,insider_name,title,trade_type,price,shares,value,ownership_after,ownership_change_pct,is_10b5_1
2025-03-25,2025-03-25,Huang Yuping,Chief Quantum Officer / 10%,S - Sale,8.48,-200000,-1696400,24051256,-1%,No
2025-05-20,2025-05-19,Huang Yuping,Chief Quantum Officer / 10%,S - Sale,11.70,-500000,-5850500,21236906,-2%,No
2025-05-20,2025-05-19,Shabani Javad,Director,S - Sale,11.66,-39973,-465933,0,-100%,No
2025-06-11,2025-06-09,Boehmler Christopher,CFO,S - Sale,16.85,-272445,-4590282,47565,-85%,No
2025-06-16,2025-06-12,Boehmler Christopher,CFO,S - Sale+OE,20.00,-46440,-928800,351152,-12%,No
2025-06-11,2025-06-09,Turmelle Michael C,Director,S - Sale+OE,14.18,-200986,-2849981,0,-100%,No
2025-09-04,2025-08-25,Dianat Pouya,Chief Revenue Officer,S - Sale+OE,15.53,-17175,-266808,0,-100%,No
2025-09-05,2025-09-04,Huang Yuping,CEO / President / 10%,S - Sale,14.42,-1000000,-14415000,21287718,-4%,No
2025-09-08,2025-09-05,Shabani Javad,Director,S - Sale+OE,15.28,-37474,-572653,0,-100%,No
2025-09-17,2025-09-09,Fagenson Robert B,Director (Vice Chairman),S - Sale,15.56,-100000,-1556005,0,-100%,No
2026-01-12,2026-01-07,Begliarbekov Milan,COO,S - Sale,11.85,-2860,-33891,24240,-11%,No
2026-03-11,2026-03-10,Roberts Christopher Bruce,CFO / General Counsel,S - Sale+OE,7.85,-78262,-614499,1123038,-7%,No
